Product_Name,Category,Profit_Per_Unit,Sales_Last_30_Days,Season_Used,Width_cm,Height_cm,Manufacturing_Date,Expiry_Date
Paperboat Coffee 50g,Beverages,30.55,718,Autumn,9,12.3,09-03-2025,21-06-2025
Patanjali Face Wash 400g,Personal Care,21.74,842,Winter,7.2,17.4,15-11-2024,11-06-2025
Colgate Body Lotion 350g,Personal Care,27.74,198,Spring,9.2,21.8,04-10-2024,03-03-2025
Bru Energy Drink 50g,Beverages,16.08,48,Summer,8.1,18.1,28-11-2024,23-03-2025
Haldiram's Chocolate 300g,Snacks,48.3,125,Winter,12,18.3,18-12-2024,25-11-2025
Mother Dairy Butter 150g,Dairy,34.81,52,Winter,14.4,29.4,02-08-2024,21-06-2025
Patanjali Shampoo 400g,Personal Care,9.46,486,Spring,18.3,13.3,03-10-2024,23-07-2025
Harpic Dishwash Liquid 250g,Household,29.75,519,Autumn,3.4,10.6,15-02-2025,10-08-2025
Britannia Namkeen 300g,Snacks,32.24,944,Winter,12.3,12.8,15-02-2025,25-01-2026
Paperboat Coffee 350g,Beverages,44.92,547,Autumn,8.8,2.8,02-03-2025,21-11-2025
Tata Tea Juice 150g,Beverages,20.08,298,Monsoon,8.1,3,11-12-2024,03-09-2025
Haldiram's Cookies 500g,Snacks,15.94,837,Spring,17.8,23.3,05-03-2025,14-01-2026
Dove Face Wash 300g,Personal Care,21.73,456,Monsoon,18.3,25.7,14-03-2025,05-02-2026
Colgate Toothpaste 100g,Personal Care,9.48,642,Autumn,4.7,29.7,14-08-2024,12-02-2025
Haldiram's Chocolate 500g,Snacks,13.86,677,Monsoon,5.2,21.6,19-02-2025,04-06-2025
Parle Chips 50g,Snacks,28.19,371,Summer,2.6,28.4,22-07-2024,24-10-2024
Paperboat Juice 400g,Beverages,28.51,869,Summer,19.3,16.1,20-02-2025,19-01-2026
Bru Juice 300g,Beverages,14.02,427,Winter,5.8,19.5,09-03-2025,19-08-2025
Parle Cookies 350g,Snacks,49.01,939,Monsoon,15.8,21.6,10-10-2024,25-03-2025
Amul Butter 50g,Dairy,43.63,494,Summer,9.6,4.8,17-12-2024,10-12-2025
Tata Tea Coffee 400g,Beverages,46.62,842,Summer,18.1,2.1,12-10-2024,29-09-2025
Paperboat Energy Drink 50g,Beverages,30.58,843,Summer,13.1,14.9,25-07-2024,29-11-2024
Paperboat Juice 50g,Beverages,37.31,150,Summer,14.1,11.9,23-11-2024,16-10-2025
Red Bull Energy Drink 50g,Beverages,23.77,771,Monsoon,18.7,13.3,14-08-2024,04-03-2025
Colgate Face Wash 400g,Personal Care,7.92,333,Spring,15.3,26.5,12-05-2024,12-04-2025
Red Bull Coffee 350g,Beverages,40.72,214,Winter,15,21.3,08-06-2024,14-11-2024
Paperboat Tea 400g,Beverages,38.93,555,Monsoon,3.7,24,07-11-2024,16-08-2025
Dove Face Wash 350g,Personal Care,42.7,750,Monsoon,15.6,28.2,16-10-2024,05-05-2025
Parle Biscuits 150g,Snacks,31.38,487,Autumn,13.8,15.4,24-09-2024,11-05-2025
Lizol Detergent Powder 150g,Household,36.63,226,Winter,11.3,23.7,03-03-2025,05-11-2025
Parle Namkeen 200g,Snacks,5.2,769,Autumn,11.5,15.1,04-02-2025,22-08-2025
Vim Toilet Cleaner 50g,Household,11.78,19,Winter,19,19.1,03-06-2024,28-04-2025
Harpic Floor Cleaner 400g,Household,42.11,143,Summer,2.1,17.7,06-02-2025,15-06-2025
Dove Toothpaste 50g,Personal Care,44.12,631,Spring,14.1,4.7,19-11-2024,15-10-2025
Haldiram's Biscuits 450g,Snacks,46.08,144,Winter,13.4,12.4,18-02-2025,15-11-2025
Patanjali Toothpaste 500g,Personal Care,46.41,80,Spring,9.2,12.8,08-08-2024,16-07-2025
Harpic Detergent Powder 450g,Household,39.64,348,Winter,14.3,11.9,25-08-2024,09-04-2025
