Product_Name,Category,Profit_Per_Unit,Sales_Last_30_Days,Season_Used,Width_cm,Height_cm,Manufacturing_Date,Expiry_Date
Paperboat Tea 300g,Beverages,48.61,805,Monsoon,12.9,20.8,11-11-2024,03-08-2025
Red Bull Tea 250g,Beverages,42.92,317,Spring,10.8,10,04-11-2024,14-10-2025
Tata Tea Soft Drink 100g,Beverages,9.04,732,Summer,6,20.5,17-01-2025,19-04-2025
Parle Namkeen 300g,Snacks,22.3,262,Winter,19.8,23.6,22-08-2024,29-03-2025
Amul Yogurt 100g,Dairy,42.66,246,Spring,10.7,16.5,25-12-2024,02-06-2025
Britannia Chips 450g,Snacks,10.6,840,Summer,5.3,8.2,06-03-2025,11-07-2025
Lizol Air Freshener 300g,Household,13.14,954,Winter,17.6,1.6,11-02-2025,07-06-2025
Haldiram's Chips 50g,Snacks,22.78,834,Winter,18,3,24-05-2024,21-09-2024
Parle Biscuits 500g,Snacks,9.44,665,Winter,17.5,3.4,16-06-2024,16-11-2024
Haldiram's Biscuits 150g,Snacks,41.26,990,Spring,5.3,14,04-08-2024,01-03-2025
Amul Milk 200g,Dairy,12,359,Winter,7.4,27.1,29-05-2024,03-10-2024
Red Bull Soft Drink 500g,Beverages,46.12,915,Summer,2.5,5.6,30-06-2024,19-04-2025
Dove Soap 350g,Personal Care,18.73,509,Summer,16,18.8,27-08-2024,18-08-2025
Paperboat Juice 100g,Beverages,7.38,669,Monsoon,5.3,14.2,27-02-2025,16-11-2025
Britannia Cookies 150g,Snacks,6.28,862,Spring,16.2,27.1,10-01-2025,29-10-2025
Haldiram's Cookies 300g,Snacks,18.29,212,Winter,2,24.7,13-01-2025,09-10-2025
Colgate Toothpaste 450g,Personal Care,16.22,349,Winter,19.6,10.3,21-02-2025,23-05-2025
Paperboat Juice 250g,Beverages,48.5,584,Spring,13.1,15,07-02-2025,19-09-2025
Dove Toothpaste 300g,Personal Care,39.91,593,Monsoon,9.3,5.7,16-12-2024,12-07-2025
Surf Excel Dishwash Liquid 100g,Household,40.55,10,Autumn,19,7.2,18-07-2024,26-02-2025
Parle Namkeen 450g,Snacks,41.98,42,Spring,13.7,21.9,07-04-2025,17-09-2025
Bru Soft Drink 300g,Beverages,13.44,456,Summer,15.4,17.6,02-04-2025,21-02-2026
Haldiram's Biscuits 450g,Snacks,26.69,865,Winter,10.8,6.6,28-10-2024,19-06-2025
Dove Toothpaste 450g,Personal Care,28.57,865,Autumn,14.7,18.9,16-10-2024,04-10-2025
Paperboat Tea 150g,Beverages,23.8,895,Spring,12.3,18.6,10-06-2024,05-03-2025
Vim Detergent Powder 450g,Household,30.82,104,Monsoon,5,11.2,11-06-2024,15-12-2024
Patanjali Soap 500g,Personal Care,46.36,879,Spring,18,2.3,23-08-2024,07-06-2025
Haldiram's Biscuits 300g,Snacks,22.94,699,Summer,3.3,19.5,05-07-2024,30-03-2025
Harpic Air Freshener 350g,Household,41.42,874,Summer,12,4,19-05-2024,16-01-2025
Parle Namkeen 250g,Snacks,31.27,563,Winter,11.6,13.6,25-03-2025,25-10-2025
Lizol Floor Cleaner 350g,Household,29.36,993,Autumn,17.4,15.5,03-06-2024,09-03-2025
Colgate Face Wash 400g,Personal Care,25.47,196,Summer,17.2,4.9,06-02-2025,22-06-2025
Dove Face Wash 400g,Personal Care,14,608,Spring,7.5,19.6,07-12-2024,29-11-2025
Amul Butter 150g,Dairy,18.22,249,Winter,8.8,5,28-01-2025,12-06-2025
Red Bull Juice 250g,Beverages,26.9,159,Autumn,10.2,2.4,23-10-2024,10-03-2025
Vim Floor Cleaner 250g,Household,5.13,187,Summer,3.5,9.7,16-02-2025,28-07-2025
Tata Tea Juice 150g,Beverages,15,28,Winter,4.7,9,05-04-2025,16-02-2026
Red Bull Energy Drink 200g,Beverages,33.89,447,Spring,14.7,22.6,05-02-2025,09-07-2025
Surf Excel Air Freshener 450g,Household,32.71,207,Winter,14.4,10.3,22-03-2025,08-08-2025
Dove Shampoo 200g,Personal Care,21.9,665,Spring,10.6,7.1,05-09-2024,09-08-2025
Surf Excel Toilet Cleaner 150g,Household,35.74,177,Summer,3.4,23.4,28-02-2025,10-06-2025
Amul Cheese 250g,Dairy,43.94,781,Spring,6.3,10.8,07-08-2024,14-11-2024
Himalaya Toothpaste 500g,Personal Care,6.67,562,Spring,6.6,26.8,01-11-2024,10-03-2025
Amul Yogurt 500g,Dairy,16.39,537,Monsoon,19.1,8.5,21-07-2024,11-06-2025
Dove Shampoo 300g,Personal Care,19.77,15,Winter,7.8,28.3,11-01-2025,10-05-2025
Mother Dairy Yogurt 450g,Dairy,31.79,968,Winter,4.8,19.8,03-08-2024,03-11-2024
Tata Tea Soft Drink 300g,Beverages,6.34,258,Monsoon,5.5,2.6,27-03-2025,19-09-2025
Himalaya Shampoo 300g,Personal Care,42.15,28,Spring,16.7,15.2,19-03-2025,10-09-2025
Lizol Toilet Cleaner 250g,Household,8.55,328,Monsoon,18.1,5.3,13-07-2024,23-11-2024
Himalaya Face Wash 400g,Personal Care,45.74,926,Winter,19.5,2.3,03-07-2024,26-05-2025
Haldiram's Chocolate 200g,Snacks,35.88,343,Winter,3.7,11.1,13-09-2024,15-05-2025
Bru Energy Drink 450g,Beverages,41.41,111,Autumn,8.9,24.1,10-11-2024,03-08-2025
Vim Detergent Powder 300g,Household,33.49,945,Spring,6.2,5.3,18-03-2025,13-10-2025
Surf Excel Toilet Cleaner 200g,Household,27.8,251,Summer,8.7,28.7,14-07-2024,22-03-2025
Bru Energy Drink 400g,Beverages,17.8,885,Monsoon,10.6,19.7,12-02-2025,04-06-2025
