Product_Name,Category,Season,Weight_Volume,Height_cm,Width_cm,Depth_cm,Sales_Last_30_Days,Profit_Per_Unit,Expiry_Date
Fresh Cake,Bakery,Winter,0.05kg,11.11,11.08,3.69,527,1.14,2025-05-30
Fresh Cake,Bakery,Spring,0.05kg,11.11,11.08,3.69,429,4.03,2025-05-24
Fresh Cake,Bakery,Summer,0.05kg,11.11,11.08,3.69,888,11.24,2025-05-26
Fresh Cake,Bakery,Autumn,0.05kg,11.11,11.08,3.69,222,1.38,2025-05-25
Fresh Cake,Bakery,Monsoon,0.05kg,11.11,11.08,3.69,513,12.22,2025-05-29
Fresh Cake,Bakery,Winter,0.10kg,11.04,10.5,2.26,528,17.58,2025-05-27
Fresh Cake,Bakery,Spring,0.10kg,11.04,10.5,2.26,281,18.8,2025-05-26
Fresh Cake,Bakery,Summer,0.10kg,11.04,10.5,2.26,359,5.29,2025-05-29
Fresh Cake,Bakery,Autumn,0.10kg,11.04,10.5,2.26,562,16.41,2025-05-27
Fresh Cake,Bakery,Monsoon,0.10kg,11.04,10.5,2.26,433,14.15,2025-05-24
Fresh Cake,Bakery,Winter,0.20kg,8.13,11.68,3.23,528,20.58,2025-05-25
Fresh Cake,Bakery,Spring,0.20kg,8.13,11.68,3.23,330,36.03,2025-05-25
Fresh Cake,Bakery,Summer,0.20kg,8.13,11.68,3.23,431,13.79,2025-05-24
Fresh Cake,Bakery,Autumn,0.20kg,8.13,11.68,3.23,447,6.42,2025-05-29
Fresh Cake,Bakery,Monsoon,0.20kg,8.13,11.68,3.23,259,29.36,2025-05-25
Premium Bread,Bakery,Winter,0.05kg,8.57,8.85,3.64,335,2.47,2025-05-29
Premium Bread,Bakery,Spring,0.05kg,8.57,8.85,3.64,457,6.73,2025-05-29
Premium Bread,Bakery,Summer,0.05kg,8.57,8.85,3.64,713,3.54,2025-05-26
Premium Bread,Bakery,Autumn,0.05kg,8.57,8.85,3.64,573,2.9,2025-05-28
Premium Bread,Bakery,Monsoon,0.05kg,8.57,8.85,3.64,651,1.54,2025-05-24
