Product_Name,Category,Profit_Per_Unit,Sales_Last_30_Days,Season_Used,Width_cm,Height_cm,Manufacturing_Date,Expiry_Date
Classmate Marker 150g,Stationery,40.19,523,Spring,15.2,25.7,06-04-2025,04-01-2026
Paperboat Juice 500g,Beverages,46.74,377,Spring,5.8,28.1,28-11-2024,04-10-2025
Vim Floor Cleaner 150g,Household,17.8,446,Summer,5.3,18.5,30-07-2024,06-02-2025
Britannia Chips 750g,Snacks,38.58,60,Winter,15.6,25.7,26-10-2024,12-06-2025
Surf Excel Toilet Cleaner 50g,Household,19.06,272,Autumn,13.1,7.9,10-04-2025,22-02-2026
Red Bull Energy Drink 1kg,Beverages,8.36,266,Autumn,18.3,12.3,11-09-2024,03-09-2025
Parle Chocolate 150g,Snacks,23.8,483,Monsoon,19.9,19.5,14-12-2024,01-04-2025
Classmate Highlighter 1kg,Stationery,26.51,608,Autumn,12.4,27.2,03-08-2024,16-05-2025
Amul Cheese 300g,Dairy,39.87,720,Winter,2.6,3.1,19-10-2024,05-05-2025
Navneet Pencil 300g,Stationery,32.57,685,Autumn,16,8.9,04-09-2024,01-07-2025
Mother Dairy Paneer 200g,Dairy,36.99,508,Winter,15.3,19.2,02-03-2025,04-01-2026
Parle Chocolate 500g,Snacks,5.53,529,Autumn,12,17.9,24-07-2024,01-06-2025
Paperboat Soft Drink 250g,Beverages,15.34,434,Monsoon,14.4,29.8,07-09-2024,27-06-2025
Vim Dishwash Liquid 250g,Household,6.72,342,Summer,6.4,1.4,03-07-2024,13-12-2024
Harpic Air Freshener 200g,Household,30.29,644,Monsoon,12.5,21.6,27-10-2024,25-09-2025
ITC Namkeen 400g,Snacks,39.29,971,Summer,15.1,26.1,18-08-2024,17-07-2025
Parle Namkeen 400g,Snacks,10.37,192,Winter,12.7,8,23-11-2024,02-06-2025
Britannia Cookies 1kg,Snacks,38.14,242,Monsoon,3.1,26.8,12-07-2024,23-12-2024
Surf Excel Toilet Cleaner 400g,Household,40.96,897,Monsoon,15.6,17.1,27-11-2024,25-05-2025
Navneet Pencil 200g,Stationery,9.82,400,Summer,18.1,22.9,02-06-2024,09-01-2025
Navneet Highlighter 500g,Stationery,30.89,613,Autumn,11.2,20.9,20-03-2025,05-08-2025
Surf Excel Floor Cleaner 1kg,Household,25.09,324,Monsoon,15.4,12.7,09-02-2025,19-11-2025
Lizol Toilet Cleaner 300g,Household,46.26,603,Summer,12.1,19.9,25-10-2024,23-05-2025
Harpic Air Freshener 1kg,Household,36.23,475,Spring,17,6.7,10-01-2025,19-07-2025
Mother Dairy Cheese 1kg,Dairy,40.93,223,Summer,9.6,12.5,27-11-2024,30-04-2025
Patanjali Shampoo 150g,Personal Care,29.27,371,Summer,2.9,5,31-05-2024,18-09-2024
Parle Biscuits 200g,Snacks,40.47,48,Monsoon,9.1,10.8,25-02-2025,12-02-2026
Haldiram's Chocolate 250g,Snacks,28.54,258,Spring,4.2,28.9,03-10-2024,19-05-2025
Surf Excel Toilet Cleaner 100g,Household,30.78,391,Spring,2.6,18.8,03-04-2025,20-12-2025
Lizol Dishwash Liquid 100g,Household,31.52,25,Autumn,9.5,24.5,07-04-2025,06-08-2025
Haldiram's Biscuits 500g,Snacks,13.6,303,Spring,3.1,14.1,10-03-2025,09-12-2025
Vim Air Freshener 400g,Household,22.59,24,Summer,8.6,5.6,26-07-2024,19-06-2025
Red Bull Energy Drink 100g,Beverages,33.13,419,Spring,11.4,26,18-06-2024,07-04-2025
Parle Chocolate 250g,Snacks,33.94,875,Spring,12.5,25.5,23-02-2025,21-08-2025
Harpic Floor Cleaner 100g,Household,12.51,225,Summer,5.6,4.7,01-10-2024,24-06-2025
Patanjali Shampoo 1kg,Personal Care,47.07,887,Monsoon,5.9,20,05-06-2024,15-03-2025
Red Bull Soft Drink 500g,Beverages,28.6,928,Winter,2.1,2.7,08-12-2024,30-08-2025
Cello Marker 150g,Stationery,38.67,504,Summer,3,14.8,11-08-2024,04-12-2024
ITC Biscuits 250g,Snacks,22.14,309,Summer,9,16.5,04-11-2024,17-03-2025
Britannia Biscuits 200g,Snacks,38.16,954,Winter,14,6,16-03-2025,29-10-2025
Vim Air Freshener 750g,Household,41.51,500,Summer,10.6,18.6,02-11-2024,20-05-2025
Tata Tea Juice 200g,Beverages,19.97,49,Monsoon,10.2,3.8,07-01-2025,12-08-2025
Patanjali Soap 1kg,Personal Care,43.02,159,Monsoon,18.1,11.2,20-09-2024,21-07-2025
Vim Dishwash Liquid 1kg,Household,8.07,726,Winter,16.5,17.6,20-05-2024,01-09-2024
