Product_Name,Category,Profit_Per_Unit,Sales_Last_30_Days,Season_Used,Width_cm,Height_cm,Manufacturing_Date,Expiry_Date
Amul Butter 1000g,Dairy,13.32,166,Monsoon,10.9,18.4,30-06-2024,28-11-2024
Bru Soft Drink 400g,Beverages,48.32,303,Monsoon,10.1,11.7,03-09-2024,11-05-2025
Patanjali Soap 250g,Personal Care,29.15,60,Winter,2.7,22.6,08-03-2025,12-10-2025
Amul Paneer 500g,Dairy,32.86,167,Spring,9.8,25.7,04-11-2024,13-04-2025
Tata Tea Energy Drink 1000g,Beverages,17.36,924,Autumn,8.1,12.9,19-08-2024,19-03-2025
Himalaya Soap 1050g,Personal Care,36.61,733,Monsoon,14.1,13.8,12-08-2024,11-02-2025
Dove Face Wash 100g,Personal Care,26.62,599,Monsoon,6.1,22.9,14-07-2024,25-03-2025
Amul Cheese 150g,Dairy,9.68,826,Winter,18.7,4.5,10-09-2024,12-06-2025
Paperboat Energy Drink 1250g,Beverages,17.13,572,Autumn,18,18,08-08-2024,23-02-2025
Harpic Detergent Powder 1250g,Household,43.72,349,Autumn,11.3,17.2,08-06-2024,19-03-2025
Lizol Dishwash Liquid 1000g,Household,39.82,678,Summer,17.2,16.7,25-01-2025,24-06-2025
Patanjali Toothpaste 950g,Personal Care,10.67,348,Autumn,13,13.2,07-01-2025,28-09-2025
Himalaya Shampoo 750g,Personal Care,17.46,713,Monsoon,6.1,11.3,20-11-2024,26-10-2025
Mother Dairy Yogurt 1350g,Dairy,8,316,Monsoon,15.5,19.5,12-08-2024,09-02-2025
Colgate Body Lotion 1000g,Personal Care,48.38,510,Spring,17.8,13.3,14-03-2025,24-12-2025
Harpic Floor Cleaner 250g,Household,29.69,449,Spring,15.3,14.8,15-07-2024,17-03-2025
Patanjali Soap 1300g,Personal Care,10.14,190,Winter,7,16.3,09-11-2024,15-06-2025
Himalaya Body Lotion 1250g,Personal Care,32.84,397,Spring,2.3,26.9,28-03-2025,15-09-2025
Amul Milk 900g,Dairy,39.33,165,Autumn,5,21.7,20-10-2024,13-06-2025
Red Bull Tea 350g,Beverages,38.62,429,Winter,12.8,25.9,09-07-2024,30-11-2024
Dove Shampoo 500g,Personal Care,20.02,735,Summer,14.1,9,06-04-2025,14-02-2026
Lizol Dishwash Liquid 1150g,Household,15.27,916,Winter,6.1,8.7,30-01-2025,05-09-2025
Himalaya Soap 1500g,Personal Care,29.84,606,Autumn,5.2,9,25-08-2024,08-02-2025
Lizol Toilet Cleaner 1100g,Household,41.36,910,Autumn,15,16.6,11-01-2025,12-07-2025
Parle Biscuits 450g,Snacks,5.74,314,Monsoon,3.6,28.3,03-03-2025,25-07-2025
Surf Excel Toilet Cleaner 450g,Household,11.55,902,Winter,2.9,8.4,02-10-2024,14-04-2025
Britannia Chocolate 300g,Snacks,23.46,321,Winter,4.1,24.1,01-03-2025,26-02-2026
Amul Paneer 850g,Dairy,16.77,689,Spring,8.6,5.7,03-06-2024,26-12-2024
Colgate Soap 1450g,Personal Care,30.76,938,Summer,16,15.7,17-03-2025,10-08-2025
Patanjali Face Wash 400g,Personal Care,38.27,803,Spring,14.9,25.7,06-01-2025,19-06-2025
Surf Excel Toilet Cleaner 350g,Household,29.02,847,Spring,2.2,17.3,08-02-2025,26-10-2025
Surf Excel Floor Cleaner 950g,Household,18.46,235,Spring,17.1,19.2,20-10-2024,06-03-2025
Harpic Air Freshener 1300g,Household,13.88,267,Spring,14.5,9.6,20-12-2024,24-11-2025
Dove Face Wash 750g,Personal Care,22.95,988,Autumn,5,14.8,21-11-2024,31-07-2025
