Product_Name,Category,Season,Weight_Volume,Height_cm,Width_cm,Depth_cm,Sales_Last_30_Days,Profit_Per_Unit,Expiry_Date
Classic Bread,Bakery,Winter,0.05kg,8.59,10.19,2.59,443,8.75,2025-05-28
Classic Bread,Bakery,Spring,0.05kg,8.59,10.19,2.59,556,4.25,2025-05-29
Classic Bread,Bakery,Summer,0.05kg,8.59,10.19,2.59,919,7.48,2025-05-24
Classic Bread,Bakery,Autumn,0.05kg,8.59,10.19,2.59,344,11.93,2025-05-31
Classic Bread,Bakery,Monsoon,0.05kg,8.59,10.19,2.59,221,9.87,2025-05-24
Classic Bread,Bakery,Winter,0.10kg,9.16,9.15,2.42,344,18.27,2025-05-29
Classic Bread,Bakery,Spring,0.10kg,9.16,9.15,2.42,438,17.79,2025-05-26
Classic Bread,Bakery,Summer,0.10kg,9.16,9.15,2.42,927,14.61,2025-05-25
Classic Bread,Bakery,Autumn,0.10kg,9.16,9.15,2.42,579,17.27,2025-05-28
Classic Bread,Bakery,Monsoon,0.10kg,9.16,9.15,2.42,593,20.74,2025-05-30
Classic Bread,Bakery,Winter,0.20kg,11.78,11.84,3.3,556,27.93,2025-05-29
Classic Bread,Bakery,Spring,0.20kg,11.78,11.84,3.3,458,24.61,2025-05-24
Classic Bread,Bakery,Summer,0.20kg,11.78,11.84,3.3,855,31.58,2025-05-27
Classic Bread,Bakery,Autumn,0.20kg,11.78,11.84,3.3,705,35.37,2025-05-25
Classic Bread,Bakery,Monsoon,0.20kg,11.78,11.84,3.3,684,41.2,2025-05-24
Deluxe Bread,Bakery,Winter,0.05kg,10.97,9.78,3.69,468,10.76,2025-05-30
Deluxe Bread,Bakery,Spring,0.05kg,10.97,9.78,3.69,317,8.56,2025-05-30
Deluxe Bread,Bakery,Summer,0.05kg,10.97,9.78,3.69,844,6.04,2025-05-31
Deluxe Bread,Bakery,Autumn,0.05kg,10.97,9.78,3.69,493,5.47,2025-05-30
Deluxe Bread,Bakery,Monsoon,0.05kg,10.97,9.78,3.69,329,4.28,2025-05-25
Deluxe Bread,Bakery,Winter,0.10kg,9.46,10.3,2.59,164,22.04,2025-05-31
Deluxe Bread,Bakery,Spring,0.10kg,9.46,10.3,2.59,283,19.79,2025-05-26
Deluxe Bread,Bakery,Summer,0.10kg,9.46,10.3,2.59,328,18.87,2025-05-25
Deluxe Bread,Bakery,Autumn,0.10kg,9.46,10.3,2.59,470,5.31,2025-05-30
Deluxe Bread,Bakery,Monsoon,0.10kg,9.46,10.3,2.59,742,14.67,2025-05-28
Deluxe Bread,Bakery,Winter,0.20kg,11.81,8.08,2.82,145,13.35,2025-05-26
Deluxe Bread,Bakery,Spring,0.20kg,11.81,8.08,2.82,529,39.17,2025-05-25
Deluxe Bread,Bakery,Summer,0.20kg,11.81,8.08,2.82,865,36.61,2025-05-29
Deluxe Bread,Bakery,Autumn,0.20kg,11.81,8.08,2.82,484,9.65,2025-05-28
Deluxe Bread,Bakery,Monsoon,0.20kg,11.81,8.08,2.82,384,34.15,2025-05-28
Deluxe Croissant,Bakery,Winter,0.05kg,8.3,10.43,2.32,325,10.82,2025-05-26
Deluxe Croissant,Bakery,Spring,0.05kg,8.3,10.43,2.32,264,11.31,2025-05-31
Deluxe Croissant,Bakery,Summer,0.05kg,8.3,10.43,2.32,831,8.82,2025-05-27
Deluxe Croissant,Bakery,Autumn,0.05kg,8.3,10.43,2.32,535,10.78,2025-05-24
Deluxe Croissant,Bakery,Monsoon,0.05kg,8.3,10.43,2.32,571,3.09,2025-05-25
Deluxe Croissant,Bakery,Winter,0.10kg,8.97,11.64,3.17,291,10.62,2025-05-29
Deluxe Croissant,Bakery,Spring,0.10kg,8.97,11.64,3.17,445,12.27,2025-05-27
Deluxe Croissant,Bakery,Summer,0.10kg,8.97,11.64,3.17,968,19.91,2025-05-28
